id,timestamp,media_type,media_product_type,permalink,like_count,comments_count,reach,saved,shares,total_interactions,insights_error
17909120861939542,2024-04-12T18:36:22+0000,IMAGE,FEED,https://www.instagram.com/p/C5q_Utngn7t/,53,1,109,1,0,55,
17992888598414975,2024-04-12T14:57:19+0000,IMAGE,FEED,https://www.instagram.com/p/C5qmQVuLxbY/,33,1,102,0,0,34,
17878082975996904,2024-04-11T09:59:51+0000,IMAGE,FEED,https://www.instagram.com/p/C5nfasDgLx1/,22,0,92,0,0,22,
18025419857018920,2024-04-10T13:01:54+0000,IMAGE,FEED,https://www.instagram.com/p/C5lPdNLrVXR/,111,8,108,0,0,119,
18031369282771390,2024-04-09T16:45:26+0000,IMAGE,FEED,https://www.instagram.com/p/C5jEPl0ga2M/,126,9,175,4,0,139,
17913786668917188,2024-04-09T13:59:42+0000,IMAGE,FEED,https://www.instagram.com/p/C5ixRuEr1vu/,27,1,220,1,0,29,
18040478017753273,2024-04-08T15:19:59+0000,IMAGE,FEED,https://www.instagram.com/p/C5gVq3TLyjc/,110,0,300,4,0,114,
18046505518636737,2024-04-06T14:19:20+0000,IMAGE,FEED,https://www.instagram.com/p/C5bFI6lOId3/,33,7,278,3,0,43,
18130595614334994,2024-04-05T22:41:55+0000,IMAGE,FEED,https://www.instagram.com/p/C5ZZ3BlxuQ0/,100,1,199,0,0,101,
17971648361569015,2024-04-05T21:06:04+0000,IMAGE,FEED,https://www.instagram.com/p/C5ZO5EBRH_4/,34,0,195,0,0,34,
18043683184668650,2024-04-03T00:55:59+0000,IMAGE,FEED,https://www.instagram.com/p/C5R60VksTQj/,84,1,113,2,0,87,
17854452468154219,2024-04-02T22:31:36+0000,IMAGE,FEED,https://www.instagram.com/p/C5RqSypL25C/,19,0,204,0,0,19,
18430155274004335,2024-04-02T14:36:37+0000,IMAGE,FEED,https://www.instagram.com/p/C5Qz77nrcGX/,179,0,534,4,4,187,
18026309444000506,2024-04-02T11:30:04+0000,IMAGE,FEED,https://www.instagram.com/p/C5Qelr6A9-1/,149,4,307,0,0,153,
18293315164092949,2024-04-02T01:29:20+0000,IMAGE,FEED,https://www.instagram.com/p/C5PZ1xFRxyv/,44,1,290,0,0,45,
17914804259911137,2024-04-01T11:57:23+0000,IMAGE,FEED,https://www.instagram.com/p/C5N861rAeRH/,34,0,167,1,0,35,
17990089601444673,2024-03-29T13:37:45+0000,IMAGE,FEED,https://www.instagram.com/p/C5GaBXTuoCp/,116,5,133,0,0,121,
18051485686602749,2024-03-12T14:18:43+0000,IMAGE,FEED,https://www.instagram.com/p/C4atMgFrSy0/,38,1,118,0,0,39,
18017889713137357,2024-03-04T00:32:03+0000,IMAGE,FEED,https://www.instagram.com/p/C4EoOxsx1t0/,97,3,149,0,0,100,
17871221703014197,2024-02-26T14:32:52+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/C30G4-5OYrf/,59,1,186,0,0,60,
18276864061161549,2024-02-01T10:54:23+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/C2zWA8qgHyq/,174,21,141,3,0,198,
17978828042632362,2023-12-29T17:18:56+0000,IMAGE,FEED,https://www.instagram.com/p/C1ce_vOLT6A/,40,1,103,0,0,41,
18029843248795041,2023-12-28T15:12:37+0000,IMAGE,FEED,https://www.instagram.com/p/C1ZrvodAqyU/,68,1,77,1,0,70,
17996813282186117,2023-12-20T17:14:09+0000,IMAGE,FEED,https://www.instagram.com/p/C1FTSvOLjI2/,22,1,77,0,0,23,
18220542253253789,2023-12-14T16:30:43+0000,IMAGE,FEED,https://www.instagram.com/p/C01xjdnLjM1/,35,0,114,1,0,36,
18038392411621066,2023-12-14T13:41:53+0000,IMAGE,FEED,https://www.instagram.com/p/C01eO2gAkAj/,25,0,104,0,0,25,
18003267104267624,2023-12-14T00:41:56+0000,IMAGE,FEED,https://www.instagram.com/p/C00E-SmszLg/,78,6,125,3,0,87,
